symbol,hull,kj,snkb,sl,tp,n,wr,pf,ret,dd,final
PLUME,16,60,52,3.0,8.0,79,41.8,1.32,209.4,-43.6,309.4
ATOM,12,60,26,8.0,20.0,290,41.4,1.48,209.0,-16.3,309.0
PEAQ,16,24,52,5.0,20.0,132,37.9,1.31,206.9,-48.7,306.9
MUBARAK,10,24,26,5.0,10.0,151,39.1,1.18,205.8,-50.2,305.8
PLUME,8,60,52,4.0,10.0,95,43.2,1.46,204.2,-42.0,304.2
MUBARAK,10,24,26,6.0,15.0,147,39.5,1.24,204.1,-43.8,304.09999999999997
POPCAT,16,60,52,5.0,,95,40.0,1.26,202.0,-42.1,302.0
AXS,10,60,40,10.0,,294,41.2,1.38,201.4,-28.0,301.40000000000003
ATOM,12,60,26,8.0,,290,41.4,1.47,199.8,-16.3,299.8
PLUME,8,60,52,3.0,15.0,99,39.4,1.33,199.4,-48.3,299.4
YGG,16,48,52,10.0,,178,37.6,1.41,198.6,-27.2,298.59999999999997
PLUME,16,60,52,5.0,20.0,64,43.8,1.69,198.2,-28.5,298.20000000000005
RSR,10,60,52,10.0,5.0,196,48.5,1.74,198.0,-20.7,298.0
DYDX,8,60,52,6.0,20.0,265,38.9,1.32,196.5,-43.8,296.5
AKT,8,60,52,8.0,8.0,179,41.9,1.65,194.7,-16.5,294.7
ATOM,12,60,26,8.0,10.0,292,41.4,1.43,194.6,-15.3,294.59999999999997
POPCAT,16,60,52,4.0,15.0,97,38.1,1.21,193.3,-48.1,293.29999999999995
POPCAT,16,60,52,6.0,20.0,95,41.1,1.32,193.2,-37.6,293.2
PEAQ,16,48,52,6.0,12.0,72,43.1,1.87,191.7,-24.2,291.7
PEAQ,16,24,52,5.0,10.0,140,40.7,1.26,187.3,-39.2,287.3
YGG,16,48,52,10.0,5.0,214,48.1,1.37,185.0,-19.4,285.0
AKT,8,60,52,8.0,15.0,175,40.6,1.65,184.8,-28.1,284.8
AXS,10,60,52,10.0,,270,40.4,1.41,184.7,-27.0,284.7
POPCAT,16,60,40,5.0,20.0,103,37.9,1.26,184.2,-47.5,284.2
PLUME,16,60,26,4.0,10.0,78,42.3,1.34,183.3,-39.9,283.3
POPCAT,16,36,52,5.0,20.0,126,35.7,1.26,180.9,-46.6,280.90000000000003
AKT,8,60,52,8.0,10.0,176,40.9,1.64,180.3,-22.7,280.3
PLUME,16,60,52,4.0,8.0,74,47.3,1.42,180.0,-26.0,280.0
PLUME,8,60,26,5.0,15.0,98,41.8,1.44,178.8,-30.6,278.8
LRC,16,60,40,6.0,20.0,242,36.4,1.18,178.4,-53.2,278.4
PEAQ,16,24,52,8.0,12.0,135,41.5,1.39,177.7,-25.2,277.7
XRP,8,24,40,10.0,,511,35.0,1.34,177.6,-31.1,277.59999999999997
DYDX,10,60,52,6.0,20.0,246,39.8,1.34,175.0,-52.4,275.0
